headline,category,short_description
Chick-Fil-A Worker Saves Woman With Baby From Being Carjacked,U.S. NEWS,"Mykel Gordon rushed to the woman's aid and held down her assailant until police arrived. Remarkably, this wasn't the first time Gordon may have saved a life."
Viola Davis Feared A Heart Attack During 'The Woman King' Training,ENTERTAINMENT,The Oscar winner said she worked out for five hours a day for her role in the new action movie.
Kim Kardashian's Next Boyfriend Could Be A Biochemist,ENTERTAINMENT,"The reality star told James Corden she's branching out because ""clearly it's not working, whatever I’m doing."""
Podcasters Offer $100K Reward For Information On 2Pac’s Killers,ENTERTAINMENT,The Las Vegas podcasters are hoping to find out who shot the rap icon 26 years ago.
"Cardi B Donates $100,000 To Her Old Middle School In The Bronx",ENTERTAINMENT,The Grammy-winning rapper surprised star-struck children at the Alexander Macomb School in Morris Heights to make the announcement.
"Bill Richardson Visits Moscow As Brittney Griner, Paul Whelan Remain Jailed",WORLD NEWS,"Richardson, the former U.S. ambassador to the United Nations and a frequent emissary in hostage negotiations, held meetings with Russian leaders."
Emmy Awards Viewership Dips To A Record-Low As Its Audience Continues To Drop,ENTERTAINMENT,The television awards ceremony lost roughly 1.5 million viewers compared to its 2021 program.
"Possible Nationwide Rail Strike Is Already Impacting Travelers, Businesses",U.S. NEWS,"White House press secretary Karine Jean-Pierre said a rail shutdown is ""not acceptable"" and would harm families as well as businesses."
Democrats Nominate Seth Magaziner In Key Rhode Island House Race,POLITICS,The state's general treasurer is slated to face former Cranston Mayor Allan Fung (R) in the general election.
TikTok Search Results Riddled With Misinformation: Report,TECH,A U.S. firm that monitors false online claims reports that searches for information about prominent news topics on TikTok are likely to turn up results riddled with misinformation.
U.S. Inflation Falls For 2nd Straight Month On Lower Gas Costs,U.S. NEWS,"On a monthly basis, prices rose 0.1%, after a flat reading in July."
"Jean-Luc Godard, Pioneering French Filmmaker, Dies",ENTERTAINMENT,"The director was best known for the groundbreaking movie ""Breathless."""
Thousands Of Minnesota Nurses Launch 3-day Strike Over Pay,U.S. NEWS,They're pressing for salary increases they say will help improve patient care by resolving understaffing stresses that have worsened in the pandemic.
Joe Biden Urges National Unity In Speech On Renewed ‘Cancer Moonshot’,POLITICS,"""Cancer does not discriminate red and blue,"" the president said Monday. ""Beating cancer is something we can do together."""
Sen. Tim Scott Downplays Electability Concerns Over Struggling Senate GOP Candidates,POLITICS,"""Who we have on the field is who we’re gonna play,” Scott told ""Fox News Sunday."""
Boston Marathon To Make Race More Inclusive For Nonbinary Runners,SPORTS,The race's organizers say nonbinary athletes won't have to register with the men's or women's divisions and provided qualifying times to guide their training.
"Anthony Varvaro, MLB Pitcher Turned Transit Cop, Dies In Crash On Way To 9/11 Ceremony",SPORTS,Varvaro pitched mostly with the Atlanta Braves and started his law enforcement career in 2016.
Electability Is On The Ballot In Key Rhode Island House Primary,POLITICS,Democrats in the state’s more moderate House district are deciding who will take on a popular Republican former mayor.
"In A Nod To JFK, Joe Biden Pushing 'Moonshot' To Fight Cancer",POLITICS,Biden plans to draw attention to a new federally backed study that seeks to validate using blood tests to screen against multiple cancers.
How Ani Liu Is Brilliantly Disguising Her Art As Science,CULTURE & ARTS,"The research-based artist has found dynamic ways to confront conversations about female empowerment, motherhood and labor in her artwork."
'Sidney' Tackles The Not-So-Comfortable Conversations About A Black Cinema Icon,CULTURE & ARTS,"It’s not about sensationalizing or even tarnishing the reputation of Sidney Poitier. Rather, the new documentary honors his humanity — every facet of it."
"Carlos Alcaraz Wins U.S. Open For 1st Slam Title, Top Ranking",SPORTS,Carlos Alcaraz defeated Casper Ruud in the U.S. Open final to earn his first Grand Slam at age 19 and become the youngest man to move up to No. 1 in the rankings.
"Weather Helping, But Threat From Western Fires Persists",U.S. NEWS,Firefighters made progress against a huge Northern California wildfire that was still growing and threatening thousands of mountain homes.
"Biden Honors 9/11 Victims, Vows Commitment To Thwart Terror",POLITICS,"President Joe Biden has marked the 21st anniversary of the Sept. 11 attacks, taking part in a somber wreath-laying ceremony held at the Pentagon under a steady rain."
9/11 Attacks Still Reverberate As U.S. Marks 21st Anniversary,U.S. NEWS,September 11th remains a point for reflection on the 2001 attacks that reconfigured national security policy and spurred a U.S. “war on terror” worldwide.
Last Reactor At Ukraine's Zaporizhzhia Nuclear Plant Stopped,WORLD NEWS,"The plant, one of the 10 biggest atomic power stations in the world, has been occupied by Russian forces since early in the war, which marked its 200th day on Sunday."
Payment Processor Visa To Start Categorizing Sales At Gun Stores,U.S. NEWS,"Visa’s adoption is significant as the largest payment network, and will likely add pressure for Mastercard and American Express to adopt the code as well."
"US, Trump Team Propose Names For Arbiter In Mar-A-Lago Probe",POLITICS,The Justice Department proposed two retired judges for the role. Trump’s team proposed a retired judge and a lawyer.
James Cameron Presents New Scenes From 'Avatar: The Way Of Water' At D23 Expo,ENTERTAINMENT,"The director told the audience he was ""super excited to be finally finishing up movie two"" — as he has three additional installments in the works."
Russia Says It's Pulling Back Forces From Ukraine's Kharkiv Region,WORLD NEWS,Russia’s Defense Ministry announced that troops will be pulled back in two area where a Ukrainian counter offensive has made significant advances.
Severe Winds Batter Southern California As Heat Wave Breaks,ENVIRONMENT,"After a 10-day heat wave that nearly overwhelmed the electrical grid, Southern California got cooler weather but also a ferocious tropical storm."
Ukraine Claws Back Some Territory; Nuclear Plant In Peril,WORLD NEWS,Ukrainian forces are claiming new success in their counteroffensive against Russian forces in the east.
Watch Harry Styles Pay Tribute To Queen Elizabeth II At NYC Concert,ENTERTAINMENT,"“Please join me in a round of applause for 70 years of service,” the pop star told the crowd after he paused his Madison Square Garden performance."
Ex-Employee Testifies He Now Doubts R. Kelly Abuse Denials,ENTERTAINMENT,Derrell McDavid’s testimony could be a major blow to the R&B singer's hope of acquittal.
'Our Hearts Are Broken': Historic Front Pages Mark The Queen's Death,WORLD NEWS,Both British and international newspapers honor the passing of the U.K'.s longest-reigning monarch.
JoJo Siwa To Receive Prestigious GLSEN Honor For Her LGBTQ Advocacy Work,ENTERTAINMENT,"The 19-year-old singer, dancer and YouTube icon will receive the 2022 Gamechanger Award for her focus on anti-bullying efforts."
UN Chief Asks World For 'Massive' Help In Flood-Hit Pakistan,WORLD NEWS,"Speaking from Islamabad, Antonio Guterres said countries bearing more responsibility for climate change ""should have faced this challenge."""
"Politician's DNA Connected To Las Vegas Journalist’s Murder, Police Say",POLITICS,"Clark County Public Administrator Robert Telles was arrested in the fatal stabbing of Jeff German, who had been investigating his office."
Michelle Obama Celebrated For Wearing Braids To Her White House Portrait Unveiling,ENTERTAINMENT,The internet ignited in approval over the former first lady's hairstyle choice for the monumental day.
Norman Reedus Opens Up About 'Walking Dead' Injury: 'I Thought I Was Going To Die',ENTERTAINMENT,"The actor said he was so badly concussed while shooting the series finale that he feared for his life and was ""holding onto the walls"" while recovering."
Michigan Supreme Court Revives Abortion Rights Amendment For November's Ballot,POLITICS,"Opponents of the measure claimed typos made the qualifying petitions incomprehensible, but the state's highest court rejected that argument."
Portland Residents With Disabilities Sue Over City's Blocked Sidewalks,POLITICS,"The lawsuit says allowing homeless people’s tents to block city sidewalks makes it difficult for people using wheelchairs, walkers or canes to use them."
At Least 32 Dead In Fire At Karaoke Parlor In South Vietnam,WORLD NEWS,The fire in Thuan An city began late Tuesday and trapped both workers and customers inside the multi-story venue.
Baseball Players Union Joins AFL-CIO In Show Of Solidarity With Other Workers,SPORTS,"The MLB Players Association will finally be a member of the AFL-CIO, affiliating with 57 other unions across industries."
"Muslims Only Make Up 1% Of Characters On TV, Study Finds",ENTERTAINMENT,"In most of the 200 scripted shows that researchers analyzed, Muslim characters were typically violent, dehumanized or disparaged — if they existed at all."
The Unemployment Insurance System Is Not Ready For The Next Recession,POLITICS,"States are cutting back, and Congress is unlikely to step in even after the pandemic exposed the unemployment system's shortcomings."
"Power Outage At Austin Airport Leads To Flight Delays, Traffic Jams",U.S. NEWS,"Airport officials in Austin, Texas, say an early morning power outage is causing flight delays even as electricity has been restored."
"Shelling Goes On Near Ukraine Nuclear Plant, Despite Risks",WORLD NEWS,"The head of the International Atomic Energy Agency warned the U.N. Security Council  that “something very, very catastrophic could take place” at Zaporizhzhia."
Cyberattack Prompts Los Angeles School District To Shut Down Its Computer Systems,EDUCATION,"Such attacks have become a growing threat to U.S. schools, with several high-profile incidents reported since last year."
Fast-Moving Fairview Fire Kills At Least 2 In California,U.S. NEWS,A second fire killed two people in Northern California this weekend.
"Kody Clemens Strikes Out MVP Shohei Ohtani, Trails Dad Roger By 4,671 Ks",SPORTS,The Detroit Tigers' rookie utility player got pressed into relief-pitching duty in a 10-0 loss to the Angels.
Mississippi Governor Says Water Pressure Is Now 'Solid' In Jackson,U.S. NEWS,"The city remains under a boil water notice, which first went into effect on July 30."
"Meta, Parent Company Of Instagram, Fined $400 Million By Irish Regulators",U.S. NEWS,The social media giant was fined for violations of data privacy laws related to information about children on Instagram.
School Starts Today For Survivors Of Deadly Mass Shooting In Uvalde,U.S. NEWS,There is new high fencing around the Texas community's public schools that still isn't finished and a heavy police patrol that many families don't trust.
"U.S.: Russia To Buy Rockets, Artillery Shells From North Korea",WORLD NEWS,The finding comes after the Biden administration confirmed that the Russian military in August took delivery of Iranian-manufactured drones for use in Ukraine.
Harry Styles Say He Feels Like He Has 'No Idea What I'm Doing' When Acting,ENTERTAINMENT,"The ""As It Was"" singer said he also doesn’t see many parallels between music and acting."
Michigan Secretary of State Worried About ‘Violence And Disruption’ Going Into Midterms,POLITICS,"Jocelyn Benson said misinformation ""fuels the potential for additional threats, harassment and even violence on Election Day."""
Citing Imminent Danger Cloudflare Drops Hate Site Kiwi Farms,TECH,Cloudflare CEO Matthew Prince had previously resisted calls to block the site.
Bear Spotted Chilling In California Swimming Pool,U.S. NEWS,"""He's welcome in my yard as long as he doesn't kill me or my family,"" the homeowner quipped."
Uvalde Fourth Graders Waited An Hour With Wounded Teacher,POLITICS,"When Elsa Avila looks at the scar that runs down her torso, she can't help remember May 24, when a gunman stormed her fourth grade wing at Robb Elementary in Uvalde, Texas, killing 19 children and two teachers and leaving her and others wounded."
Trump-Endorsed Wisconsin Gubernatorial Candidate Tells Voters To Take Up Pitchforks,POLITICS,Tim Michels calls on supporters to go after media following Milwaukee Journal Sentinel story reporting multimillionaire's donations to anti-abortion groups.
Memphis Police: Arrest Made In Jogger's Disappearance,CRIME,Police in Tennessee say an arrest has been made in the disappearance of a woman who was abducted while jogging.
FEMA Director Says It's ‘Too Early’ To Tell When Jackson Will Have Clean Water Again,U.S. NEWS,Residents of Mississippi's majority-Black capital still don't have clean water after rains worsened the existing infrastructure.
Pakistan's Largest Natural Lake Is Rising To Dangerous Levels Due To Monsoon,WORLD NEWS,"Authorities warn that more flooding is expected as Lake Manchar swells from unprecedented monsoon rains that have killed nearly 1,300 people."
Uvalde Children Grapple With Trauma After School Massacre,U.S. NEWS,"Students who survived the May 24 shooting at Robb Elementary in Texas are spending the summer with a host of mental health issues, including PTSD."
Emergency Declared As Flash Flooding Hits Northwest Georgia,U.S. NEWS,"Thunderstorms and heavy rain pounded parts of northwest Georgia on Sunday, sparking flash flooding and dangerously high waters in some areas."
"'The Osbournes' Will Return In British Revival On BBC: 'Same Laughter, Love And Tears'",ENTERTAINMENT,Millennials might remember the family's MTV reality series from the early 2000s. The BBC series will be filmed at the 350-acre Osbourne estate in England.
Plane That Circled Mississippi Threatening To Crash Has Landed,U.S. NEWS,"A pilot has been arrested after circling a small airplane over Tupelo, Mississippi, while threatening to crash into a Walmart store."
Fuel Leak Ruins NASA's 2nd Shot At Launching New Moon Rocket,SCIENCE,"Part of the space agency's Artemis program, the rocket is the most powerful to date."
9 Migrants Are Found Dead In Rio Grande: Border Patrol,U.S. NEWS,"Tragic toll followed hazardous crossing by desperate dozens, said officials."
Owner Of New England Frozen Yogurt Shops Accused Of Hiding Camera In Store Bathroom,U.S. NEWS,Nashua police charged Chanphanou (Sab) Pou with three misdemeanor counts of violation of privacy. He could face up to one year in jail for each charge.
Former White House Counsel Pat Cipollone To Testify Before Grand Jury: Reports,POLITICS,Cipollone's former deputy Patrick Philbin is also reportedly scheduled to provide testimony to the grand jury on Friday.
"Tropical Storm Danielle Strengthens Into Hurricane, No Current Threat To Land",U.S. NEWS,The storm — the first hurricane of an unusually quiet storm season — is centered about 885 miles west of the Azores.
Putin Plans To Snub Gorbachev's Funeral,WORLD NEWS,"The low-key funeral reflects the Kremlin’s uneasiness about the legacy of Gorbachev, who is despised by many at home for the collapse of the Soviet Union."
NASA Aims For Saturday Launch Of New Moon Rocket After Fixing Fuel Leaks,U.S. NEWS,The inaugural flight of the 322-foot Artemis I rocket — the most powerful ever built by NASA — was delayed late in the countdown Monday.
"U.S. Hiring Slowed In August As Employers Add 315,000 Jobs",U.S. NEWS,"The unemployment rate rose to 3.7%, from a half-century low of 3.5% in July, as more Americans came off the sidelines to look for jobs."
Pregnant Woman Who Claimed Unborn Baby Was HOV Lane Passenger Receives Another Ticket,U.S. NEWS,"Brandy Bottone had referred to Roe v. Wade and Texas' penal code, which identifies an unborn child as an individual, when she was first stopped for using the lane."
Should You Freeze-Dry Your Breast Milk?,PARENTING,"If your freezer is overflowing, or you're tired of carrying around ice packs and bottles of pumped milk, this option could be for you."
Missing Louisiana Nun Found 'Alive And Safe' Months After Armed Home Raid,U.S. NEWS,The nun was held by kidnappers for nearly five months following an armed raid of her Burkina Faso home.
"A Ku Klux Klan Plaque Is Mounted At West Point's Science Center, Commission Finds",U.S. NEWS,The plaque shows a hooded man holding a weapon.
Toxic Algae Causes Thousands Of Dead Fish To Wash Ashore In California,ENVIRONMENT,The unprecedented red tide is creating a foul odor that may get worse during the oncoming heat wave.
Lisa Loeb Paved Her Own Way In The '90s — A Rare Feat For Independent Artists Of The Time,CULTURE & ARTS,The ‘Stay (I Missed You)’ artist reflects on pushing against a culture where female singer-songwriters were expected to fit a certain mold to make it big.
Rep. Jim Jordan's Judiciary Twitter Account Finds 'Threat' In Pic Of Docs At Trump Home,POLITICS,The 36-page filing described how Trump and his representatives did not hand over classified materials at the property.
Mikhail Gorbachev's 1998 Pizza Hut Ad Resurfaces After His Death,POLITICS,The Soviet Union's last leader reportedly earned nearly $1 million even though he refused to eat the pizza on camera.
Republicans Ignore Trump's Hoarding Of Classified Documents,POLITICS,"The GOP is continuing to contort itself in defense of Donald Trump, despite new information relating to classified documents held at his Florida estate."
‘Fox & Friends’ Host Questions Why Trump Kept Classified Documents At Mar-A-Lago,POLITICS,"""These are the biggest secrets in the world,"" Steve Doocy said in response to the ex-president keeping top secret documents at his private residence."
3 More R. Kelly Accusers Testify About His Abuse In Chicago Trial,U.S. NEWS,"Prosecutors rested their case against the singer, who stands accused of producing child sexual abuse videos in his latest trial."
Stocks Dive For Truth Social SPAC Amid Merger Delay,POLITICS,It's one thing after another for Donald Trump's problem-plagued Truth Social.
6 Signs You’re Grinding Your Teeth At Night (And What To Do About It),WELLNESS,"Beyond toothaches, there are other common red flags that you're dealing with nighttime teeth grinding."
'Safety Is Always First': NASA Reschedules Artemis Moon Mission To Saturday,SCIENCE,"“We’re going to play all nine innings here,” the Artemis mission manager said after the first launch was scrubbed."
Secret Service Official And Ex-Trump Aide Tony Ornato Retires Amid Jan. 6 Probe,POLITICS,"Ornato, who at one point served as a White House political adviser, is said to have witnessed Trump lunge at a Secret Service agent during the Capitol attack."
'The Vow Part Two' Trailer Dives Deeper Into Downfall Of Twisted NXIVM Cult,ENTERTAINMENT,HBO will release a six-part follow up to the series beginning in October about the infamous sex cult led by Keith Raniere.
"This Breastfeeding Condition Makes Moms Feel Dread, Disgust And Despair",PARENTING,"Moms with dysphoric milk-ejection reflex (D-MER) feel an intense but brief wave of depression, anxiety or other negative emotion before letdown. And it's more common than you might think."
"Yung Gravy Brings Addison Rae’s Mom As His VMAs Date, Calls Her A Certain 4-Letter Word",ENTERTAINMENT,"The TikTok star’s mom Sheri Easterling and the “Betty” rapper made their romance public — but her ex, Monty Lopez, is not happy about it."
House Members Are Using A Controversial Tool To Keep Campaigning. Has It Gone Too Far?,POLITICS,House members are only supposed to use proxy voting when they cannot be present due to COVID-19. But that's not stopping representatives from voting remotely on the campaign trail.
Lindsey Graham Warns Of 'Riots In Streets' If Trump Is Charged Over Classified Docs,POLITICS,"“Most Republicans, including me, believe when it comes to Trump, there is no law,"" Graham said on Fox News. ""It's all about getting him."""
Amber Heard's Sister Reacts To 'Disgusting' Johnny Depp Cameo At VMAs,ENTERTAINMENT,The “Pirates of the Caribbean” actor appeared virtually as the MTV Video Music Awards' Moon Person on Sunday night.
Johnny Depp Makes Surprise Appearance As Moon Person At MTV VMAs,ENTERTAINMENT,The actor made his first on-camera appearance since the defamation verdict against ex-wife Amber Heard in June.
And The Award For Most Enthusiastic VMAs Guest Goes To Taylor Swift,ENTERTAINMENT,"The singer channeled her inner Barb, danced along to Lizzo and fangirled over Blackpink."
"Pakistan Flooding Deaths Pass 1,000 In 'Climate Catastrophe'",WORLD NEWS,"Pakistani authorities reported the casualties since the monsoon season began earlier than normal this year, destroying nearly 300,000 homes."
2022 MTV VMAs Red Carpet: All The Wildest Looks You Need To See,ENTERTAINMENT,Celebrities showed up and showed out at the awards Sunday night in New Jersey.
A Nebraska Man Conducted An Active Shooter Drill. Employees Had No Idea.,U.S. NEWS,A man hired to organize what looked like a mass shooting has been charged with multiple terrorism counts.
Kash Patel Says His Life's In Danger Because He's In FBI Affidavit,POLITICS,"In a message posted on Truth Social, Patel called it a “vicious attack from DOJ/FBI."""
FBI Probing Russian-Speaking Fake Heiress Who Infiltrated Mar-A-Lago: Report,POLITICS,The startling case underscores the security challenges of Donald Trump’s resort even as the former president stashed top-secret U.S. government files there.
Arcade Fire Singer Win Butler Accused Of Sexual Misconduct By Several People: Report,ENTERTAINMENT,"Butler told Pitchfork he had ""consensual relationships"" outside his marriage, but he disputed details of the allegations."
Don Jr. Posts 'Dick Pic' Of Dad After Affidavit Release: 'Redact This!',POLITICS,"""Hang in there, Mr. President,"" goofs one die-hard fan."
Trump Attorneys File Do-Over Motion Regarding Mar-A-Lago Search,POLITICS,The former president's legal team followed a judge's order to polish a filing about the FBI seizure of government documents from his estate.
"6 Missing College Students In Mexico Were Held In Warehouse, Killed By Army",WORLD NEWS,"Six of 43 students kidnapped in 2014 were kept alive for days before being handed over to a local army commander who ordered them to be killed, according to a new report."
A Fisherman Thought He Caught A Rock. He Snagged A Prehistoric Treasure Instead.,WEIRD NEWS,The Nebraska man said he initially believed the underwater find was the skeleton of a catfish or deer.
Jared Kushner Blasts 'Nasty Troll' Chrissy Teigen For Attacks On Ivanka,POLITICS,Who's nasty??
'Kimmel' Host Nikki Glaser Absolutely Goes There In Scorching NSFW Monologue,ENTERTAINMENT,"No one was safe during her ""speed roast"" targeting politicians."
Mar-A-Lago Search Affidavit: Trump Was Insecurely Storing Most Sensitive Intel At Club,POLITICS,The heavily redacted document lays out the justification the Department of Justice provided to a judge for permission to search for and seize highly classified documents in an FBI raid of Trump's Florida home.
"Donald Trump's Truth Social Reportedly Faces Major Money, Trademark Woes",POLITICS,"A major vendor claims it was stiffed by Trump's social media operation, suggesting finances are in ""significant disarray,"" reported Fox Business."
FINISH HIM: Fighting Kangaroo Pulls Wild Move Right Out Of A Video Game,WEIRD NEWS,Two mad marsupials went at it in a Canberra nature reserve.
"6 Months Into War, Russian Goods Still Flowing To U.S.",WORLD NEWS,American companies — including federal contractors — continue to buy everything from birch wood flooring to weapons-grade titanium from Russian corporations.
Judge Temporarily Blocks North Dakota Trigger Law Banning Abortion,POLITICS,"The ban was set to take effect Friday, about two months after the Supreme Court overturned Roe v. Wade."
REI Workers At Berkeley Store Vote To Unionize In Another Win For Labor,BUSINESS,They follow in the footsteps of REI workers in New York City who formed a union earlier this year.
